
Smileys and people

👆🏻; Up pointing backhand index; U+1F446 U+1F3FB; UTF-8: F0 9F 91 86 F0 9F 8F BB
👆🏼; Up pointing backhand index; U+1F446 U+1F3FC; UTF-8: F0 9F 91 86 F0 9F 8F BC
👆🏽; Up pointing backhand index; U+1F446 U+1F3FD; UTF-8: F0 9F 91 86 F0 9F 8F BD
👆🏾; Up pointing backhand index; U+1F446 U+1F3FE; UTF-8: F0 9F 91 86 F0 9F 8F BE
👆🏿; Up pointing backhand index; U+1F446 U+1F3FF; UTF-8: F0 9F 91 86 F0 9F 8F BF
👇; Down pointing backhand index; U+1F447; UTF-8: F0 9F 91 87
👇🏻; Down pointing backhand index; U+1F447 U+1F3FB; UTF-8: F0 9F 91 87 F0 9F 8F BB
👇🏼; Down pointing backhand index; U+1F447 U+1F3FC; UTF-8: F0 9F 91 87 F0 9F 8F BC
👇🏽; Down pointing backhand index; U+1F447 U+1F3FD; UTF-8: F0 9F 91 87 F0 9F 8F BD
👇🏾; Down pointing backhand index; U+1F447 U+1F3FE; UTF-8: F0 9F 91 87 F0 9F 8F BE
👇🏿; Down pointing backhand index; U+1F447 U+1F3FF; UTF-8: F0 9F 91 87 F0 9F 8F BF
👈; Left pointing backhand index; U+1F448; UTF-8: F0 9F 91 88
👈🏻; Left pointing backhand index; U+1F448 U+1F3FB; UTF-8: F0 9F 91 88 F0 9F 8F BB
👈🏼; Left pointing backhand index; U+1F448 U+1F3FC; UTF-8: F0 9F 91 88 F0 9F 8F BC
👈🏽; Left pointing backhand index; U+1F448 U+1F3FD; UTF-8: F0 9F 91 88 F0 9F 8F BD
👈🏾; Left pointing backhand index; U+1F448 U+1F3FE; UTF-8: F0 9F 91 88 F0 9F 8F BE
👈🏿; Left pointing backhand index; U+1F448 U+1F3FF; UTF-8: F0 9F 91 88 F0 9F 8F BF
👉; Right pointing backhand index; U+1F449; UTF-8: F0 9F 91 89
👉🏻; Right pointing backhand index; U+1F449 U+1F3FB; UTF-8: F0 9F 91 89 F0 9F 8F BB
👉🏼; Right pointing backhand index; U+1F449 U+1F3FC; UTF-8: F0 9F 91 89 F0 9F 8F BC
👉🏽; Right pointing backhand index; U+1F449 U+1F3FD; UTF-8: F0 9F 91 89 F0 9F 8F BD
👉🏾; Right pointing backhand index; U+1F449 U+1F3FE; UTF-8: F0 9F 91 89 F0 9F 8F BE
👉🏿; Right pointing backhand index; U+1F449 U+1F3FF; UTF-8: F0 9F 91 89 F0 9F 8F BF
🖕; Reversed hand with middle finger extended; U+1F595; UTF-8: F0 9F 96 95
🖕🏻; Reversed hand with middle finger extended; U+1F595 U+1F3FB; UTF-8: F0 9F 96 95 F0 9F 8F BB
🖕🏼; Reversed hand with middle finger extended; U+1F595 U+1F3FC; UTF-8: F0 9F 96 95 F0 9F 8F BC
🖕🏽; Reversed hand with middle finger extended; U+1F595 U+1F3FD; UTF-8: F0 9F 96 95 F0 9F 8F BD
🖕🏾; Reversed hand with middle finger extended; U+1F595 U+1F3FE; UTF-8: F0 9F 96 95 F0 9F 8F BE
🖕🏿; Reversed hand with middle finger extended; U+1F595 U+1F3FF; UTF-8: F0 9F 96 95 F0 9F 8F BF
🖐; Raised hand with fingers splayed; U+1F590; UTF-8: F0 9F 96 90
🖐🏻; Raised hand with fingers splayed; U+1F590 U+1F3FB; UTF-8: F0 9F 96 90 F0 9F 8F BB
🖐🏼; Raised hand with fingers splayed; U+1F590 U+1F3FC; UTF-8: F0 9F 96 90 F0 9F 8F BC
